# sources/allowlist.tsv — GENERATED by `asterwell-build allowlist`; do not edit.
#
# Every code point the family promises, and where its outline comes from:
#   custom    an original Asterwell outline
#   literata  preserved from Literata; neither imported nor redrawn
#   dejavu    imported from DejaVu Sans, scaled to Literata's cap height
#
# Rules live in sources/allowlist.toml. Regenerate with `mise run allowlist`
# and commit the diff; `asterwell-build allowlist --check` fails if this file
# no longer matches the rules and the pinned fonts.
#
# generator 1
# Literata 3.103 — fonts/variable/Literata[opsz,wght].ttf
#     sha256 b41138c9373112f32abb589cc22e8674b06ed4048b0c513be922bdd26f274440
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# Literata 3.103 — fonts/variable/Literata-Italic[opsz,wght].ttf
#     sha256 d483dfaeba9cbf4ce71d32a52ee65df82f7e35b15fff8d1011cdb242d1fcd465
#     from   https://github.com/googlefonts/literata/releases/download/3.103/3.103.zip
# DejaVu Sans 2.37 — dejavu-fonts-ttf-2.37/ttf/DejaVuSans.ttf
#     sha256 7da195a74c55bef988d0d48f9508bd5d849425c1770dba5d7bfc6ce9ed848954
#     from   https://github.com/dejavu-fonts/dejavu-fonts/releases/download/version_2_37/dejavu-fonts-ttf-2.37.tar.bz2
#
# 532 rows: 8 custom, 24 literata, 500 dejavu
# 21 rows are emoji-presentation by default and need U+FE0E in text
# 0 imported code point(s) appear in Bitstream Vera Sans 1.10 (qa/vera-1.10-codepoints.txt); this must be 0
#
codepoint	char	unicode_name	block	source	glyph_name	group	emoji_presentation	note
U+00D7	×	MULTIPLICATION SIGN	Latin-1 Supplement	literata	multiply	required-inventory	no	
U+2022	•	BULLET	General Punctuation	literata	bullet	required-inventory	no	
U+2042	⁂	ASTERISM	General Punctuation	custom	uni2042	custom	no	
U+204E	⁎	LOW ASTERISK	General Punctuation	custom	uni204E	custom	no	
U+2051	⁑	TWO ASTERISKS ALIGNED VERTICALLY	General Punctuation	custom	uni2051	custom	no	
U+2055	⁕	FLOWER PUNCTUATION MARK	General Punctuation	dejavu	uni2055	markers	no	
U+2190	←	LEFTWARDS ARROW	Arrows	literata	arrowleft	required-inventory	no	
U+2191	↑	UPWARDS ARROW	Arrows	literata	arrowup	required-inventory	no	
U+2192	→	RIGHTWARDS ARROW	Arrows	literata	arrowright	required-inventory	no	
U+2193	↓	DOWNWARDS ARROW	Arrows	literata	arrowdown	required-inventory	no	
U+2194	↔	LEFT RIGHT ARROW	Arrows	dejavu	uni2194	ui-required	no	
U+2195	↕	UP DOWN ARROW	Arrows	dejavu	uni2195	ui-reserve	no	
U+21A9	↩	LEFTWARDS ARROW WITH HOOK	Arrows	dejavu	uni21A9	ui-reserve	no	
U+21AA	↪	RIGHTWARDS ARROW WITH HOOK	Arrows	dejavu	uni21AA	ui-reserve	no	
U+21D0	⇐	LEFTWARDS DOUBLE ARROW	Arrows	dejavu	uni21D0	ui-reserve	no	
U+21D2	⇒	RIGHTWARDS DOUBLE ARROW	Arrows	dejavu	uni21D2	ui-reserve	no	
U+21D4	⇔	LEFT RIGHT DOUBLE ARROW	Arrows	dejavu	uni21D4	ui-reserve	no	
U+21DE	⇞	UPWARDS ARROW WITH DOUBLE STROKE	Arrows	dejavu	uni21DE	ui-reserve	no	
U+21DF	⇟	DOWNWARDS ARROW WITH DOUBLE STROKE	Arrows	dejavu	uni21DF	ui-reserve	no	
U+21E4	⇤	LEFTWARDS ARROW TO BAR	Arrows	dejavu	uni21E4	ui-reserve	no	
U+21E5	⇥	RIGHTWARDS ARROW TO BAR	Arrows	dejavu	uni21E5	ui-required	no	
U+21E7	⇧	UPWARDS WHITE ARROW	Arrows	dejavu	uni21E7	ui-required	no	
U+21EA	⇪	UPWARDS WHITE ARROW FROM BAR	Arrows	dejavu	uni21EA	ui-reserve	no	
U+2205	∅	EMPTY SET	Mathematical Operators	literata	emptyset	required-inventory	no	
U+2212	−	MINUS SIGN	Mathematical Operators	literata	minus	required-inventory	no	
U+222A	∪	UNION	Mathematical Operators	dejavu	uni222A	ui-required	no	
U+2248	≈	ALMOST EQUAL TO	Mathematical Operators	literata	approxequal	required-inventory	no	
U+2264	≤	LESS-THAN OR EQUAL TO	Mathematical Operators	literata	lessequal	required-inventory	no	
U+2265	≥	GREATER-THAN OR EQUAL TO	Mathematical Operators	literata	greaterequal	required-inventory	no	
U+2286	⊆	SUBSET OF OR EQUAL TO	Mathematical Operators	dejavu	uni2286	ui-required	no	
U+2303	⌃	UP ARROWHEAD	Miscellaneous Technical	dejavu	uni2303	ui-reserve	no	
U+2318	⌘	PLACE OF INTEREST SIGN	Miscellaneous Technical	dejavu	uni2318	ui-required	no	
U+2325	⌥	OPTION KEY	Miscellaneous Technical	dejavu	uni2325	ui-reserve	no	
U+2326	⌦	ERASE TO THE RIGHT	Miscellaneous Technical	dejavu	uni2326	ui-reserve	no	
U+232B	⌫	ERASE TO THE LEFT	Miscellaneous Technical	dejavu	uni232B	ui-required	no	
U+23CE	⏎	RETURN SYMBOL	Miscellaneous Technical	dejavu	uni23CE	ui-required	no	
U+2423	␣	OPEN BOX	Control Pictures	dejavu	uni2423	ui-required	no	
U+2500	─	BOX DRAWINGS LIGHT HORIZONTAL	Box Drawing	dejavu	uni2500	ui-required	no	
U+25A0	■	BLACK SQUARE	Geometric Shapes	literata	filledbox	Geometric Shapes	no	
U+25A1	□	WHITE SQUARE	Geometric Shapes	literata	uni25A1	Geometric Shapes	no	
U+25A2	▢	WHITE SQUARE WITH ROUNDED CORNERS	Geometric Shapes	dejavu	uni25A2	Geometric Shapes	no	
U+25A3	▣	WHITE SQUARE CONTAINING BLACK SMALL SQUARE	Geometric Shapes	dejavu	uni25A3	Geometric Shapes	no	
U+25A4	▤	SQUARE WITH HORIZONTAL FILL	Geometric Shapes	dejavu	uni25A4	Geometric Shapes	no	
U+25A5	▥	SQUARE WITH VERTICAL FILL	Geometric Shapes	dejavu	uni25A5	Geometric Shapes	no	
U+25A6	▦	SQUARE WITH ORTHOGONAL CROSSHATCH FILL	Geometric Shapes	dejavu	uni25A6	Geometric Shapes	no	
U+25A7	▧	SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL	Geometric Shapes	dejavu	uni25A7	Geometric Shapes	no	
U+25A8	▨	SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL	Geometric Shapes	dejavu	uni25A8	Geometric Shapes	no	
U+25A9	▩	SQUARE WITH DIAGONAL CROSSHATCH FILL	Geometric Shapes	dejavu	uni25A9	Geometric Shapes	no	
U+25AA	▪	BLACK SMALL SQUARE	Geometric Shapes	dejavu	uni25AA	Geometric Shapes	no	
U+25AB	▫	WHITE SMALL SQUARE	Geometric Shapes	dejavu	uni25AB	Geometric Shapes	no	
U+25AC	▬	BLACK RECTANGLE	Geometric Shapes	dejavu	uni25AC	Geometric Shapes	no	
U+25AD	▭	WHITE RECTANGLE	Geometric Shapes	dejavu	uni25AD	Geometric Shapes	no	
U+25AE	▮	BLACK VERTICAL RECTANGLE	Geometric Shapes	dejavu	uni25AE	Geometric Shapes	no	
U+25AF	▯	WHITE VERTICAL RECTANGLE	Geometric Shapes	dejavu	uni25AF	Geometric Shapes	no	
U+25B0	▰	BLACK PARALLELOGRAM	Geometric Shapes	dejavu	uni25B0	Geometric Shapes	no	
U+25B1	▱	WHITE PARALLELOGRAM	Geometric Shapes	dejavu	uni25B1	Geometric Shapes	no	
U+25B2	▲	BLACK UP-POINTING TRIANGLE	Geometric Shapes	literata	triagup	Geometric Shapes	no	
U+25B3	△	WHITE UP-POINTING TRIANGLE	Geometric Shapes	literata	uni25B3	Geometric Shapes	no	
U+25B4	▴	BLACK UP-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B4	Geometric Shapes	no	
U+25B5	▵	WHITE UP-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B5	Geometric Shapes	no	
U+25B6	▶	BLACK RIGHT-POINTING TRIANGLE	Geometric Shapes	literata	uni25B6	Geometric Shapes	no	
U+25B7	▷	WHITE RIGHT-POINTING TRIANGLE	Geometric Shapes	literata	uni25B7	Geometric Shapes	no	
U+25B8	▸	BLACK RIGHT-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B8	Geometric Shapes	no	
U+25B9	▹	WHITE RIGHT-POINTING SMALL TRIANGLE	Geometric Shapes	dejavu	uni25B9	Geometric Shapes	no	
U+25BA	►	BLACK RIGHT-POINTING POINTER	Geometric Shapes	dejavu	uni25BA	Geometric Shapes	no	
U+25BB	▻	WHITE RIGHT-POINTING POINTER	Geometric Shapes	dejavu	uni25BB	Geometric Shapes	no	
